Mod:Item:MetaData, Localized Name
galaxyspace:liquid_separator, Liquid Separator
galaxyspace:gas_collector, Gas Collector
galaxyspace:gas_burner, Gas Burner
galaxyspace:hydroponic_base, Hydroponic Base
galaxyspace:hydroponic_farm, Hydroponic Farm Block
galaxyspace:radiation_stabiliser, Magnetic Field Generator
galaxyspace:modification_table, Modification Table
galaxyspace:oxygen_storage_module_1, tile.oxygen_storage_module_1.name
galaxyspace:adv_circuit_fabricator, Advanced Circuit Fabricator
galaxyspace:panel_controller, Mini-Panels Controller
galaxyspace:modern_storage_module, Modern Energy Cluster
galaxyspace:planet_shield, Planetary Shield
galaxyspace:gravitation_module, Gravity Module
galaxyspace:energy_pad, Energy Pad
galaxyspace:single_solarpanel, Solar Mini-Panel
galaxyspace:modern_single_solarpanel, Modern Solar Mini-Panel
galaxyspace:advanced_landing_pad, Advanced Launch Pad
galaxyspace:dungeon_blocks:0, Ceres Dungeon Brick
galaxyspace:dungeon_blocks:1, Io Dungeon Brick
galaxyspace:treasure_t4, Treasure Chest Tier 4
galaxyspace:treasure_t5, Treasure Chest Tier 5
galaxyspace:dry_leaves, Dead Leaves
galaxyspace:futureglass_none, Futuristic Glass
galaxyspace:futureglass:0, Black Futuristic Glass
galaxyspace:futureglass:1, Red Futuristic Glass
galaxyspace:futureglass:2, Green Futuristic Glass
galaxyspace:futureglass:3, Brown Futuristic Glass
galaxyspace:futureglass:4, Blue Futuristic Glass
galaxyspace:futureglass:5, Purple Futuristic Glass
galaxyspace:futureglass:6, Cyan Futuristic Glass
galaxyspace:futureglass:7, Light Gray Futuristic Glass
galaxyspace:futureglass:8, Gray Futuristic Glass
galaxyspace:futureglass:9, Pink Futuristic Glass
galaxyspace:futureglass:10, Lime Futuristic Glass
galaxyspace:futureglass:11, Yellow Futuristic Glass
galaxyspace:futureglass:12, Light Blue Futuristic Glass
galaxyspace:futureglass:13, Magneta Futuristic Glass
galaxyspace:futureglass:14, Orange Futuristic Glass
galaxyspace:futureglass:15, White Futuristic Glass
galaxyspace:gsores:0, Cobalt Ore
galaxyspace:gsores:1, Nickel Ore
galaxyspace:gsores:2, Uranium Ore
galaxyspace:decoblocks:0, Cobalt Decoration Block
galaxyspace:decoblocks:1, Magnesium Decoration Block
galaxyspace:decoblocks:2, Nickel Decoration Block
galaxyspace:decoblocks:3, Copper Decoration Block
galaxyspace:decoblocks:4, Cobalt Decoration Block
galaxyspace:decoblocks:5, Magnesium Decoration Block
galaxyspace:decoblocks:6, Nickel Decoration Block
galaxyspace:decoblocks:7, Copper Decoration Block
galaxyspace:decoblocks:8, Cobalt Block
galaxyspace:decoblocks:9, Nickel Block
galaxyspace:decoblocks:10, Magnesium Block
galaxyspace:surface_ice:0, Oxygen Ice
galaxyspace:surface_ice:1, Nitrogen Ice
galaxyspace:surface_ice:2, Methane Ice
galaxyspace:surface_ice:3, Hydrogen Ice
galaxyspace:surface_ice:4, Dry Ice
galaxyspace:mercuryblocks:0, Mercury Surface Rock
galaxyspace:mercuryblocks:1, Mercury Subsurface Rock
galaxyspace:mercuryblocks:2, Mercury Stone
galaxyspace:mercuryblocks:3, Nickel Ore
galaxyspace:mercuryblocks:4, Iron Ore
galaxyspace:mercuryblocks:5, Magnesium Ore
galaxyspace:marsores:0, Diamond Ore
galaxyspace:marsores:1, Gold Ore
galaxyspace:marsores:2, Coal Ore
galaxyspace:marsores:3, Redstone Ore
galaxyspace:marsores:4, Silicon Ore
galaxyspace:marsores:5, Aluminum Ore
galaxyspace:ceresblocks:0, Ceres Surface Rock
galaxyspace:ceresblocks:1, Ceres Subsurface Rock
galaxyspace:ceresblocks:2, Dolomite Ore
galaxyspace:ceresblocks:3, Meteoric Iron Ore
galaxyspace:ceresblocks:4, Ceres Dungeon Top
galaxyspace:ceresblocks:5, Ceres Dungeon Floor
galaxyspace:plutoblocks:0, Pluto Surface Rock
galaxyspace:plutoblocks:1, Pluto Surface Rock
galaxyspace:plutoblocks:2, Pluto Surface Rock
galaxyspace:plutoblocks:3, Pluto Surface Rock
galaxyspace:plutoblocks:4, Pluto Surface Rock
galaxyspace:plutoblocks:5, Pluto Stone
galaxyspace:haumeablocks:0, Haumea Surface Rock
galaxyspace:haumeablocks:1, Haumea Stone
galaxyspace:haumeablocks:2, Haumea Cobblestone
galaxyspace:haumeablocks:3, Aluminum Ore
galaxyspace:phobosblocks:0, Phobos Regolite
galaxyspace:phobosblocks:1, Phobos Stone
galaxyspace:phobosblocks:2, Iron Ore
galaxyspace:phobosblocks:3, Meteoric Iron Ore
galaxyspace:phobosblocks:4, Nickel Ore
galaxyspace:phobosblocks:5, Desh Ore
galaxyspace:ioblocks:0, Io Surface Rock
galaxyspace:ioblocks:1, Io Stone
galaxyspace:ioblocks:2, Io Ash
galaxyspace:ioblocks:3, Copper Ore
galaxyspace:ioblocks:4, Sulfur Ore
galaxyspace:ioblocks:5, Volcanic Ore
galaxyspace:ioblocks:6, Io Lava Geyser
galaxyspace:ioblocks:7, Io Sulfur Geyser
galaxyspace:ioblocks:8, Io Dungeon Top
galaxyspace:ioblocks:9, Io Dungeon Floor
galaxyspace:ioblocks:10, Io Dungeon Bricks
galaxyspace:europablocks:0, Europa Surface Ice
galaxyspace:europablocks:1, Europa Stone
galaxyspace:europablocks:2, Brown Europa Ice
galaxyspace:europablocks:3, Emerald Ore
galaxyspace:europablocks:4, Silicon Ore
galaxyspace:europablocks:5, Aluminum Ore
galaxyspace:europablocks:6, tile.europa_surface_ice_2.name
galaxyspace:europa_geyser, Europa Geyser
galaxyspace:europa_uwgeyser, Europa Geyser
galaxyspace:ganymedeblocks:0, Ganymede Surface Rock
galaxyspace:ganymedeblocks:1, Ganymede Stone
galaxyspace:ganymedeblocks:2, Magnesium Ore
galaxyspace:ganymedeblocks:3, Ilmenite Ore
galaxyspace:callistoblocks:0, Callisto Surface Rock
galaxyspace:callistoblocks:1, Callisto Stone
galaxyspace:enceladusblocks:0, Enceladus Ice
galaxyspace:enceladusblocks:1, Enceladus Subsurface Rock
galaxyspace:enceladusblocks:2, Coal Ore
galaxyspace:enceladus_crystal, Unknown Crystal Cluster
galaxyspace:titanblocks:0, Titan Surface Rock
galaxyspace:titanblocks:1, Titan Subsurface Rock
galaxyspace:titanblocks:2, Titan Stone
galaxyspace:titanblocks:3, Sapphire Ore
galaxyspace:titanblocks:4, Emerald Ore
galaxyspace:titanblocks:5, Diamond Ore
galaxyspace:titanblocks:6, Coal Ore
galaxyspace:titanblocks:7, Lapis Ore
galaxyspace:titanblocks:8, Redstone Ore
galaxyspace:mirandablocks:0, Miranda Surface Rock
galaxyspace:mirandablocks:1, Miranda Subsurface Rock
galaxyspace:mirandablocks:2, Miranda Stone
galaxyspace:mirandablocks:3, Iron Ore
galaxyspace:mirandablocks:4, Dolomite Ore
galaxyspace:mirandablocks:5, Diamond Ore
galaxyspace:mirandablocks:6, Quartz Ore
galaxyspace:mirandablocks:7, Cobalt Ore
galaxyspace:mirandablocks:8, Nickel Ore
galaxyspace:mirandablocks:9, Miranda Surface Rock
galaxyspace:mirandablocks:10, Miranda Surface Rock
galaxyspace:mirandablocks:11, Miranda Subsurface Rock
galaxyspace:mirandablocks:12, Miranda Subsurface Rock
galaxyspace:mirandablocks:13, Miranda Stone
galaxyspace:mirandablocks:14, Miranda Stone
galaxyspace:mirandablocks:15, Miranda Ice
galaxyspace:tritonblocks:0, Triton Surface Rock
galaxyspace:tritonblocks:1, Triton Subsurface Rock
galaxyspace:tritonblocks:2, Triton Stone
galaxyspace:tritonblocks:3, Triton Geyser
galaxyspace:tritonblocks:4, Triton Small Geyser
galaxyspace:gs_basic:0, Blank Fuel Tank
galaxyspace:gs_basic:1, Solar Flare Module
galaxyspace:gs_basic:2, Solar Flare
galaxyspace:gs_basic:3, Dolomite Crystal
galaxyspace:gs_basic:4, Dolomite Meal
galaxyspace:gs_basic:5, Modern Wafer
galaxyspace:gs_basic:6, Hematite
galaxyspace:gs_basic:7, Sulfur
galaxyspace:gs_basic:8, Unknown Crystal Shard
galaxyspace:gs_basic:9, Antiradiation Tablets
galaxyspace:gs_basic:10, Schematics Box
galaxyspace:gs_basic:11, Blank Module
galaxyspace:gs_basic:12, Volcanic Shard
galaxyspace:gs_basic:13, Meteoric Iron Fragments
galaxyspace:gs_basic:14, Blank Schematic
galaxyspace:gs_basic:15, Uranium
galaxyspace:gs_basic:16, Prototype Controller Shield
galaxyspace:gs_basic:17, Ice Bucket
galaxyspace:gs_basic:18, Portable Emergency Teleport
galaxyspace:gs_basic:19, [WIP] Info-Pad
galaxyspace:gs_basic:20, Advanced Emergency Kit
galaxyspace:gs_basic:21, Thermal Cloth
galaxyspace:gs_basic:22, Thermal Cloth
galaxyspace:gs_basic:23, Oxygen Ice Shard
galaxyspace:gs_basic:24, Nitrogen Ice Shard
galaxyspace:gs_basic:25, Methane Ice Shard
galaxyspace:gs_basic:26, Hydrogen Ice Shard
galaxyspace:gs_basic:27, Dry Ice Shard
galaxyspace:gs_basic:28, Colonist's Kit
galaxyspace:gs_basic:29, Empty Plasma Cell
galaxyspace:gs_basic:30, Filled Plasma Cell
galaxyspace:gs_basic:31, Wolf Thermal Suit
galaxyspace:gs_basic:32, Animal Cage
galaxyspace:gs_basic:33, Iron Fan
galaxyspace:gs_basic:34, Steel Fan
galaxyspace:gs_basic:35, Plastic Fan
galaxyspace:gs_basic:36, Carbon Fan
galaxyspace:gs_basic:37, Raw Plastic
galaxyspace:gs_basic:38, Plastic Fragment
galaxyspace:gs_basic:39, Gas Extractor
galaxyspace:ingots:0, Cobalt Ingot
galaxyspace:ingots:1, Magnesium Ingot
galaxyspace:ingots:2, Nickel Ingot
galaxyspace:nuggets:0, Cobalt Nugget
galaxyspace:nuggets:1, Magnesium Nugget
galaxyspace:nuggets:2, Nickel Nugget
galaxyspace:hdp:0, Heavy Duty Plate
galaxyspace:hdp:1, Heavy Duty Plate
galaxyspace:hdp:2, Heavy Duty Plate
galaxyspace:compressed_plates:0, Compressed Coal
galaxyspace:compressed_plates:1, Compressed Cobalt
galaxyspace:compressed_plates:2, Compressed Magnesium
galaxyspace:compressed_plates:3, Compressed Nickel
galaxyspace:compressed_plates:4, Compressed "SDHC-120" Alloy
galaxyspace:rocket_modules:0, Tier 1 Lander
galaxyspace:rocket_modules:1, Tier 2 Lander
galaxyspace:rocket_modules:2, Tier 3 Lander
galaxyspace:rocket_modules:3, Small Fuel Canister
galaxyspace:rocket_modules:4, Ion Engine
galaxyspace:rocket_modules:5, [WIP] Plasma Engine
galaxyspace:rocket_modules:6, Sublight Engine
galaxyspace:rocket_modules:7, [WIP] Black Hole Engine
galaxyspace:rocket_modules:8, Rocket License
galaxyspace:rocket_modules:9, Rocket License
galaxyspace:rocket_modules:10, Rocket License
galaxyspace:rocket_parts:0, Durable Nose Cone
galaxyspace:rocket_parts:1, Durable Rocket Body
galaxyspace:rocket_parts:2, Durable Rocket Engine
galaxyspace:rocket_parts:3, Heavy Booster
galaxyspace:rocket_parts:4, Durable Rocket Vane
galaxyspace:rocket_parts:5, Durable Nose Cone
galaxyspace:rocket_parts:6, Durable Rocket Body
galaxyspace:rocket_parts:7, Durable Rocket Engine
galaxyspace:rocket_parts:8, Heavy Booster
galaxyspace:rocket_parts:9, Durable Rocket Vane
galaxyspace:rocket_parts:10, Durable Nose Cone
galaxyspace:rocket_parts:11, Durable Rocket Body
galaxyspace:rocket_parts:12, Durable Rocket Engine
galaxyspace:rocket_parts:13, Heavy Booster
galaxyspace:rocket_parts:14, Durable Rocket Vane
galaxyspace:rocket_parts:15, Durable Nose Cone
galaxyspace:rocket_parts:16, Durable Rocket Body
galaxyspace:rocket_parts:17, Durable Rocket Engine
galaxyspace:rocket_parts:18, Heavy Booster
galaxyspace:rocket_parts:19, Durable Rocket Vane
galaxyspace:schematics:0, NASA Workbench Schematic
galaxyspace:schematics:1, NASA Workbench Schematic
galaxyspace:schematics:2, NASA Workbench Schematic
galaxyspace:schematics:3, NASA Workbench Schematic
galaxyspace:schematics:4, NASA Workbench Schematic
galaxyspace:schematics:5, NASA Workbench Schematic
galaxyspace:schematics:6, NASA Workbench Schematic
galaxyspace:dungeon_keys:0, Dungeon Key
galaxyspace:dungeon_keys:1, Dungeon Key
galaxyspace:upgrades:0, Module "Expander"
galaxyspace:upgrades:1, Module "Stabilization"
galaxyspace:upgrades:2, Module "Speed"
galaxyspace:upgrades:3, Module "Energy"
galaxyspace:advanced_battery, Advanced Battery
galaxyspace:modern_battery, Modern Battery
galaxyspace:extra_battery, Extra Battery
galaxyspace:ultimate_battery, Ultimate Battery
galaxyspace:hydrogen_canister:1, Hydrogen Canister
galaxyspace:ethane_canister:1, Ethane Canister
galaxyspace:em_canister:1, Ethane-Methane Canister
galaxyspace:helium_canister:1, Helium-3 Canister
galaxyspace:hh_canister:1, Helium-Hydrogen Canister
galaxyspace:naturegas_canister:1, Nature Gas Canister
galaxyspace:oxygen_tank_4, Very Heavy Oxygen Tank
galaxyspace:oxygen_tank_5, Extremely Heavy Oxygen Tank
galaxyspace:oxygen_tank_6, Ultimate Oxygen Tank
galaxyspace:oxygen_tank_epp_1, Environmental Protection Oxygen Tank
galaxyspace:rocket_tier_4:0, Tier 4 Rocket
galaxyspace:rocket_tier_4:1, Tier 4 Rocket
galaxyspace:rocket_tier_4:2, Tier 4 Rocket
galaxyspace:rocket_tier_4:3, Tier 4 Rocket
galaxyspace:rocket_tier_4:4, Tier 4 Rocket
galaxyspace:rocket_tier_5:0, Tier 5 Rocket
galaxyspace:rocket_tier_5:1, Tier 5 Rocket
galaxyspace:rocket_tier_5:2, Tier 5 Rocket
galaxyspace:rocket_tier_5:3, Tier 5 Rocket
galaxyspace:rocket_tier_5:4, Tier 5 Rocket
galaxyspace:rocket_tier_6:0, Tier 6 Rocket
galaxyspace:rocket_tier_6:1, Tier 6 Rocket
galaxyspace:rocket_tier_6:2, Tier 6 Rocket
galaxyspace:rocket_tier_6:3, Tier 6 Rocket
galaxyspace:rocket_tier_6:4, Tier 6 Rocket
galaxyspace:rocket_tier_6:0, Tier 6 Rocket
galaxyspace:mars_rover, item.mars_rover.name
galaxyspace:space_suit_head, SpaceSuit Helmet
galaxyspace:space_suit_chest, SpaceSuit Chestplate
galaxyspace:space_suit_legs, SpaceSuit Leggings
galaxyspace:space_suit_feet, SpaceSuit Boots
galaxyspace:space_suit_light_head, Light SpaceSuit Helmet
galaxyspace:space_suit_light_chest, Light SpaceSuit Chestplate
galaxyspace:space_suit_light_legs, Light SpaceSuit Leggings
galaxyspace:space_suit_light_feet, Light SpaceSuit Boots
galaxyspace:cobalt_helmet, Cobalt Helmet
galaxyspace:cobalt_chest, Cobalt Chestplate
galaxyspace:cobalt_legs, Cobalt Leggings
galaxyspace:cobalt_boots, Cobalt Boots
galaxyspace:thermal_padding_t3:0, Thermal Padding Helm
galaxyspace:thermal_padding_t3:1, Thermal Padding Chestpiece
galaxyspace:thermal_padding_t3:2, Thermal Padding Leggings
galaxyspace:thermal_padding_t3:3, Thermal Padding Boots
galaxyspace:thermal_padding_t4:0, Thermal Padding Helm
galaxyspace:thermal_padding_t4:1, Thermal Padding Chestpiece
galaxyspace:thermal_padding_t4:2, Thermal Padding Leggings
galaxyspace:thermal_padding_t4:3, Thermal Padding Boots
galaxyspace:cobalt_sword, Cobalt Sword
galaxyspace:cobalt_axe, Cobalt Axe
galaxyspace:cobalt_pickaxe, Cobalt Pickaxe
galaxyspace:cobalt_spade, Cobalt Spade
galaxyspace:cobalt_hoe, Cobalt Hoe
galaxyspace:plasma_sword, Plasma Sword
galaxyspace:plasma_axe, Plasma Axe
galaxyspace:plasma_pickaxe, Plasma Pickaxe
galaxyspace:jetpack, Electric Jetpack
galaxyspace:geo_scanner:100, Geological Scanner
galaxyspace:barnarda_c_grasses:0, Barnarda C Grass
galaxyspace:barnarda_c_grasses:1, tile.barnarda_c_grass_1.name
galaxyspace:barnarda_c_blocks:0, Barnarda C Dirt
galaxyspace:barnarda_c_blocks:1, Barnarda C Stone
galaxyspace:barnarda_c_blocks:2, [WIP] Barnarda C Sandstone
galaxyspace:barnarda_c_blocks:3, [WIP] Barnarda C Dirt
galaxyspace:barnarda_c_blocks:4, Barnarda C Cobblestone
galaxyspace:barnarda_c_blocks:5, Barnarda C Stone Bricks
galaxyspace:barnarda_c_blocks:6, Barnarda C Wood Planks
galaxyspace:barnarda_c_falling_blocks:0, Barnarda C Sand
galaxyspace:barnarda_c_test_log, Barnarda C Violet Log
galaxyspace:barnarda_c_birch_log, tile.barnarda_c_birch_log.name
galaxyspace:barnarda_c_cactus, tile.barnarda_c_cactus.name
galaxyspace:barnarda_c_test_glow_log, Barnarda C Glowing Violet Log
galaxyspace:barnarda_c_dandelions:0, Barnarda C Grass
galaxyspace:barnarda_c_dandelions:1, Barnarda C Hopper Flower
galaxyspace:barnarda_c_dandelions:2, Barnarda C Green Fern
galaxyspace:barnarda_c_dandelions:3, Barnarda C Red Fern
galaxyspace:barnarda_c_dandelions:4, Barnarda C Light Balls
galaxyspace:barnarda_c_dandelions:5, Barnarda C Leaves Balls
galaxyspace:barnarda_c_dandelions:6, Barnarda C Desert Flower
galaxyspace:barnarda_c_dandelions:8, Barnarda C Yellow Grass
galaxyspace:barnarda_c_dandelions:12, Violet Tree Sapling
galaxyspace:barnarda_c_dandelions:13, tile.barnarda_c_tallgrass_dark.name
galaxyspace:barnarda_c_glow_dandelions:0, tile.barnarda_c_glow_plant_1.name
galaxyspace:barnarda_c_glow_dandelions:1, tile.barnarda_c_glow_plant_2.name
galaxyspace:barnarda_c_glow_dandelions:2, tile.barnarda_c_glow_plant_3.name
galaxyspace:barnarda_c_glow_dandelions:3, tile.barnarda_c_glow_plant_4.name
galaxyspace:barnarda_c_leaves:0, Barnarda C Leaves
galaxyspace:barnarda_c_farmland, Barnarda C Farmland
galaxyspace:barnarda_c_water_grass, tile.barnarda_c_water_grass.name
galaxyspace:barnarda_c_ores:0, Coal Ore
galaxyspace:barnarda_c_ores:1, Iron Ore
galaxyspace:barnarda_c_ores:2, Gold Ore
galaxyspace:barnarda_c_ores:3, Redstone Ore
galaxyspace:barnarda_c_ores:4, Lapis Ore
galaxyspace:barnarda_c_ores:5, Diamond Ore
galaxyspace:barnarda_c_ores:6, Silicon Ore
galaxyspace:barnarda_c_ores:7, Copper Ore
galaxyspace:barnarda_c_ores:8, Tin Ore
galaxyspace:barnarda_c_ores:9, Aluminum Ore
galaxyspace:barnarda_c_ores:10, Quartz Ore
galaxyspace:barnarda_c_ores:11, Cobalt Ore
galaxyspace:barnarda_c_ores:12, Nickel Ore
galaxyspace:barnarda_c_violet_trapdoor, tile.barnarda_c_violet_trapdoor.name
galaxyspace:br_basic:0, Violet Reeds
galaxyspace:br_basic:1, Lichen
galaxyspace:br_basic:2, Tree Juice
galaxyspace:br_foods:0, Yellow Fruits
galaxyspace:barnarda_c_violet_door, item.barnarda_c_violet_door.name
galaxyspace:tauceti_f_blocks:0, Tau Ceti F Dirt
galaxyspace:tauceti_f_blocks:1, Tau Ceti F Grass
galaxyspace:tauceti_f_blocks:2, Tau Ceti F Stone
galaxyspace:tauceti_f_watergrass:0, Red Algae
galaxyspace:tauceti_f_watergrass:1, Algae Base
galaxyspace:tauceti_f_watergrass:2, Algae
galaxyspace:tauceti_f_watergrass:3, Algae Top
galaxyspace:tauceti_f_watergrass:4, Slime Algae Base
galaxyspace:tauceti_f_watergrass:5, Slime Algae Top
galaxyspace:tauceti_f_watergrass:6, Thick Algae
galaxyspace:tauceti_f_watergrass:7, Kelp
galaxyspace:tauceti_f_corals:0, Brain Coral
galaxyspace:tauceti_f_corals:1, Brain Coral Fan
galaxyspace:tauceti_f_corals:2, Bubble Coral
galaxyspace:tauceti_f_corals:3, Bubble Coral Fan
galaxyspace:tauceti_f_corals:4, Fire Coral
galaxyspace:tauceti_f_corals:5, Fire Coral Fan
galaxyspace:tauceti_f_corals:6, Horn Coral
galaxyspace:tauceti_f_corals:7, Horn Coral Fan
galaxyspace:tauceti_f_corals:8, Tube Coral
galaxyspace:tauceti_f_corals:9, Tube Coral Fan
galaxyspace:tauceti_f_corals:10, Sponge Coral
galaxyspace:proxima_b_blocks:0, Surface
galaxyspace:proxima_b_blocks:1, Subsurface
galaxyspace:proxima_b_blocks:2, Stone
galaxyspace:proxima_b_blocks:3, Ice Surface
galaxyspace:proxima_b_blocks:4, Ash Rock
galaxyspace:proxima_b_blocks:5, Gold Ore
galaxyspace:proxima_b_blocks:6, Tin Ore
galaxyspace:proxima_b_blocks:7, Copper Ore
galaxyspace:proxima_b_blocks:8, Coal Ore
galaxyspace:proxima_b_blocks:9, Silicon Ore
galaxyspace:proxima_b_blocks:10, Diamond Ore
galaxyspace:proxima_b_blocks:11, Rocky Surface
galaxyspace:proxima_b_blocks:12, Mushroom Skin
galaxyspace:proxima_b_blocks:13, Mushroom Geyser
galaxyspace:proxima_b_blocks:14, Mud
galaxyspace:proxima_b_log_1, Burnt Wood
galaxyspace:proxima_b_log_2, Frozen Wood
galaxyspace:proxima_b_mushroom_log, Mushroom Stem
galaxyspace:proxima_b_grasses, Grass
galaxyspace:proxima_b_dandelions:0, Red Tallgrass
galaxyspace:proxima_b_dandelions:1, Red Tallgrass
galacticraftcore:unlit_torch_stone, Stone Torch
galacticraftcore:unlit_torch_stone_lit, Stone Torch
tombstone:decorative_grave_simple:0, §6Simple Grave
tombstone:decorative_grave_simple:1, §6Simple Grave
tombstone:decorative_grave_normal:0, §6Normal Grave
tombstone:decorative_grave_normal:1, §6Normal Grave
tombstone:decorative_grave_cross:0, §6Cross Grave
tombstone:decorative_grave_cross:1, §6Cross Grave
tombstone:decorative_tombstone:0, §6Tombstone
tombstone:decorative_tombstone:1, §6Tombstone
tombstone:decorative_subaraki_grave:0, §6Subaraki's Grave
tombstone:decorative_subaraki_grave:1, §6Subaraki's Grave
tombstone:decorative_grave_original:0, §6Original Grave
tombstone:decorative_grave_original:1, §6Original Grave
tombstone:dark_marble:0, Dark Marble
tombstone:dark_marble:1, White Marble
tombstone:grave_key, Grave's Key
tombstone:grave_plate, Grave Plate
tombstone:scroll_of_knowledge, Scroll of Knowledge
tombstone:scroll_buff:0, §6Enchanted Scroll of Preservation
tombstone:scroll_buff:0, §6Ancient Scroll of Preservation
tombstone:scroll_buff:1, §6Enchanted Scroll of Unstable Intangibility
tombstone:scroll_buff:1, §6Ancient Scroll of Unstable Intangibility
tombstone:scroll_buff:2, §6Enchanted Scroll of Feather Falling
tombstone:scroll_buff:2, §6Ancient Scroll of Feather Falling
tombstone:scroll_buff:3, §6Enchanted Scroll of Purification
tombstone:scroll_buff:3, §6Ancient Scroll of Purification
tombstone:scroll_buff:4, §6Enchanted Scroll of True Sight
tombstone:scroll_buff:4, §6Ancient Scroll of True Sight
tombstone:scroll_buff:5, §6Enchanted Scroll of Reach
tombstone:scroll_buff:5, §6Ancient Scroll of Reach
tombstone:scroll_buff:6, §6Enchanted Scroll of Lightning Resistance
tombstone:scroll_buff:6, §6Ancient Scroll of Lightning Resistance
tombstone:scroll_buff:7, §6Enchanted Scroll of Frost Resistance
tombstone:scroll_buff:7, §6Ancient Scroll of Frost Resistance
tombstone:scroll_buff:8, §6Enchanted Scroll of Aquatic Life
tombstone:scroll_buff:8, §6Ancient Scroll of Aquatic Life
tombstone:scroll_buff:9, §6Enchanted Scroll of Mercy
tombstone:scroll_buff:9, §6Ancient Scroll of Mercy
tombstone:magic_scroll, tombstone.item.magic_scroll.name
tombstone:tablet_of_recall, Tablet of Recall
tombstone:tablet_of_home, Tablet of Home
tombstone:tablet_of_assistance, Tablet of Assistance
tombstone:tablet_of_cupidity, Tablet of Cupidity
tombstone:fishing_rod_of_misadventure, Fishing Rod of Misadventure
tombstone:lost_tablet, Lost Tablet
tombstone:dust_of_vanishing, Dust of Vanishing
tombstone:soul_receptacle, Soul Receptacle
tombstone:familiar_receptacle, Familiar Receptacle
tombstone:voodoo_poppet, Voodoo Poppet
tombstone:book_of_disenchantment, Book of Disenchantment
tombstone:book_of_repairing, Book of Repairing
tombstone:book_of_magic_impregnation, Book of Magic Impregnation
tombstone:book_of_scribe, Book of Scribe
tombstone:ankh_of_pray, Ankh of Pray
tombstone:lollipop:0, Halloween Lollipop
tombstone:lollipop:1, Halloween Lollipop
tombstone:lollipop:2, Halloween Lollipop
tombstone:lollipop:3, Halloween Lollipop
tombstone:lollipop:4, Halloween Lollipop
tombstone:lollipop:5, Halloween Lollipop
tombstone:easter_egg:0, Easter Egg
tombstone:easter_egg:1, Easter Egg
tombstone:easter_egg:2, Easter Egg
tombstone:easter_egg:3, Easter Egg
tombstone:easter_egg:4, Easter Egg
tombstone:easter_egg:5, Easter Egg
tombstone:easter_egg_food, Shadowed Egg Dish
tombstone:crafting_ingredient:0, Strange Scroll
tombstone:crafting_ingredient:1, Strange Tablet
tombstone:crafting_ingredient:3, Grave's Dust
tombstone:crafting_ingredient:4, §6Essence of Undeath
tombstone:bone_needle, Bone Needle
tombstone:impregnated_diamond, Impregnated Diamond
tombstone:christmas_gift, Mysterious Gift
tombstone:christmas_hat, Strange Christmas Hat
tombstone:rabbit_mask, Rabbit Mask
tombstone:gift, Reward
tombstone:familiar_stone, Familiar Stone
tombstone:prayer_stone, Prayer Stone
tombstone:guardian_stone, Guardian Stone
tombstone:bag_of_seeds, tombstone.item.bag_of_seeds.name
quark:pickarang, item.pickarang.name
quark:arrow_ender, item.arrow_ender.name
quark:arrow_explosive, item.arrow_explosive.name
quark:arrow_torch, item.arrow_torch.name
quark:slime_bucket:0, Slime in a Bucket
quark:rune:0, White Rune
quark:rune:1, Orange Rune
quark:rune:2, Magenta Rune
quark:rune:3, Light Blue Rune
quark:rune:4, Yellow Rune
quark:rune:5, Lime Rune
quark:rune:6, Pink Rune
quark:rune:7, Gray Rune
quark:rune:8, Light Gray Rune
quark:rune:9, Cyan Rune
quark:rune:10, Purple Rune
quark:rune:11, Blue Rune
quark:rune:12, Brown Rune
quark:rune:13, Green Rune
quark:rune:14, Red Rune
quark:rune:15, Black Rune
quark:rune:16, Rainbow Rune
quark:black_ash, tile.black_ash.name
quark:ancient_tome, item.ancient_tome.name
quark:horse_whistle, item.horse_whistle.name
quark:soul_powder, item.soul_powder.name
quark:parrot_egg:0, Red Parrot Egg
quark:parrot_egg:1, Blue Parrot Egg
quark:parrot_egg:2, Green Parrot Egg
quark:parrot_egg:3, Cyan Parrot Egg
quark:parrot_egg:4, Gray Parrot Egg
quark:enderdragon_scale, item.enderdragon_scale.name
quark:spruce_trapdoor, tile.spruce_trapdoor.name
quark:birch_trapdoor, tile.birch_trapdoor.name
quark:jungle_trapdoor, tile.jungle_trapdoor.name
quark:acacia_trapdoor, tile.acacia_trapdoor.name
quark:dark_oak_trapdoor, tile.dark_oak_trapdoor.name
quark:paper_wall, tile.paper_wall.name
quark:paper_wall_big, tile.paper_wall_big.name
quark:paper_wall_sakura, tile.paper_wall_sakura.name
quark:iron_ladder, tile.iron_ladder.name
quark:paper_lantern:0, Paper Lamp
quark:paper_lantern:1, Decorated Paper Lamp
quark:colored_flowerpot_white, tile.colored_flowerpot_white.name
quark:colored_flowerpot_orange, tile.colored_flowerpot_orange.name
quark:colored_flowerpot_magenta, tile.colored_flowerpot_magenta.name
quark:colored_flowerpot_light_blue, tile.colored_flowerpot_light_blue.name
quark:colored_flowerpot_yellow, tile.colored_flowerpot_yellow.name
quark:colored_flowerpot_lime, tile.colored_flowerpot_lime.name
quark:colored_flowerpot_pink, tile.colored_flowerpot_pink.name
quark:colored_flowerpot_gray, tile.colored_flowerpot_gray.name
quark:colored_flowerpot_silver, tile.colored_flowerpot_silver.name
quark:colored_flowerpot_cyan, tile.colored_flowerpot_cyan.name
